"","nonUL_simulated_mean","nonUL_std_dev","UL_simulated_mean","UL_std_dev","simmulated_magnitude_changed"
"ASPSCR1",5.55,0.12,6.17,0.11,0.62
"BET1L",5.4,0.22,5.83,0.19,0.44
"CBX2",3.91,0.16,4.7,0.15,0.8
"CBX7",9.16,0.19,8.5,0.16,0.65
"CCDC57",4.05,0.16,4.2,0.14,0.15
"CYTH4",5.47,0.1,5.3,0.08,0.17
"FASN",5.29,0.09,5.52,0.09,0.23
"GRIP1",2.64,0.22,3.32,0.2,0.68
"HMGA2",3.64,0.13,3.74,0.2,0.09
"KDELR3",6.76,0.1,7.49,0.12,0.72
"PYCR1",6.21,0.14,6.89,0.16,0.68
"RAC3",2.04,0.2,2.78,0.23,0.74
"SOCS3",6.01,0.26,5.24,0.17,0.77
"TH",2.76,0.25,3.41,0.26,0.65
"TNRC6B",6.85,0.14,6.92,0.13,0.07
"ZNF750",1.35,0.24,0.53,0.22,0.82
